stat_id,course_id,instructor_id,gpa,enrollment,withdraw,past_classes
Allen (GEOS) GEOS 3304,GEOS 3304,Allen (GEOS),3.22,29.0,0.0,1
Allen (HD) HD 5324,HD 5324,Allen (HD),3.75,6.0,0.0,1
Allen (HTM) HTM 5984,HTM 5984,Allen (HTM),3.47,27.0,0.0,1
Allen (STS) STS 5106,STS 5106,Allen (STS),3.72,6.0,0.0,1
Allen (STS) STS 6664,STS 6664,Allen (STS),3.94,5.0,0.0,1
Allen (TBMH) TBMH 5004,TBMH 5004,Allen (TBMH),3.39,24.0,0.0,1
Allen (TBMH) TBMH 5054,TBMH 5054,Allen (TBMH),4.0,10.25,0.0,4
Alley (ME) ME 3034,ME 3034,Alley (ME),3.56,314.0,1.0,1
Allnutt (ENGL) ENGL 1105,ENGL 1105,Allnutt (ENGL),2.66,17.0,0.5,2
Allnutt (ENGL) ENGL 1106,ENGL 1106,Allnutt (ENGL),3.28,16.4,0.55,20
Allnutt (ENGL) ENGL 2744,ENGL 2744,Allnutt (ENGL),3.44,17.4,0.5,20
Allnutt (ENGL) ENGL 3704,ENGL 3704,Allnutt (ENGL),3.75,20.0,0.0,2
Allnutt (ENGL) ENGL 3724,ENGL 3724,Allnutt (ENGL),3.67,12.0,0.0,1
Almond (ACIS) ACIS 2115,ACIS 2115,Almond (ACIS),2.99,39.9,1.74,126
Alphin (GEOG) GEOG 2064,GEOG 2064,Alphin (GEOG),3.6,6.0,0.0,1
Alphin (HIST) HIST 1764,HIST 1764,Alphin (HIST),3.7,42.0,0.0,1
Alphin (IS) IS 2064,IS 2064,Alphin (IS),3.43,13.0,0.0,2
Alphin (IS) IS 3616,IS 3616,Alphin (IS),3.69,23.0,0.0,1
Alphin (PHIL) PHIL 3016,PHIL 3016,Alphin (PHIL),3.96,7.0,0.0,1
Alphin (PSCI) PSCI 2014,PSCI 2014,Alphin (PSCI),3.63,106.0,0.75,8
Alphin (PSCI) PSCI 2064,PSCI 2064,Alphin (PSCI),3.2,11.5,0.5,2
Alphin (PSCI) PSCI 3016,PSCI 3016,Alphin (PSCI),3.79,33.11,0.22,9
Alphin (PSCI) PSCI 3616,PSCI 3616,Alphin (PSCI),3.93,10.0,0.0,1
Alphin (PSCI) PSCI 3714,PSCI 3714,Alphin (PSCI),3.72,10.0,0.0,2
Alphin (UAP) UAP 3714,UAP 3714,Alphin (UAP),3.8,29.0,0.0,2
Alquier (FR) FR 1105,FR 1105,Alquier (FR),3.3,16.0,0.5,2
Alsafwan (CS) CS 3704,CS 3704,Alsafwan (CS),3.92,85.33,0.33,3
Alsardi (CEE) CEE 3514,CEE 3514,Alsardi (CEE),3.01,36.0,0.0,1
Alsharawy (ECON) ECON 3104,ECON 3104,Alsharawy (ECON),3.55,13.0,0.0,1
Alt (STAT) STAT 5525,STAT 5525,Alt (STAT),3.88,6.0,0.0,1
Alvarez (TA) TA 2114,TA 2114,Alvarez (TA),3.34,21.5,0.5,2
Alvarez (TA) TA 4315,TA 4315,Alvarez (TA),3.69,9.0,0.0,3
Alvarez Guillen (SPAN) SPAN 2105,SPAN 2105,Alvarez Guillen (SPAN),2.79,14.0,0.33,3
