instructor_id,last_name,dept,gpa,enrollment,withdraw,past_classes,new_classes
Bennington (ENGL),Bennington,ENGL,3.68,18.0,0.62,8,4
Benoit (UH),Benoit,UH,3.99,12.25,0.0,4,0
Berg (CHE),Berg,CHE,4.0,5.0,0.0,1,0
Berg (CHEM),Berg,CHEM,2.91,172.39,16.74,23,3
Bergamasco (ALS),Bergamasco,ALS,3.23,45.6,0.3,10,1
Bergamasco (APSC),Bergamasco,APSC,3.49,39.71,0.08,24,1
Bergamasco (BIOL),Bergamasco,BIOL,3.46,45.2,0.2,5,1
Bernal (PHIL),Bernal,PHIL,3.48,32.5,1.0,2,0
Bernard Simpson (HTM),Bernard Simpson,HTM,3.57,32.5,0.0,4,1
Bernardi (RLCL),Bernardi,RLCL,3.84,36.5,1.5,2,1
Berrada (IS),Berrada,IS,3.75,30.2,0.4,5,0
Berrada (PSCI),Berrada,PSCI,3.4,17.5,0.5,2,0
